symbol,direction,quantity,entry_time,entry_price,exit_time,exit_price,profit_loss,mae,mfe,max_adverse_excursion,max_favorable_excursion
,,5,2020-01-02T14:40:00Z,3249,2020-01-02T15:16:00Z,3238.75,256.25,-34.38,259.38,-34.38,259.38
,,5,2020-01-06T14:40:00Z,8765.75,2020-01-06T14:59:00Z,8799.75,340,0,341.25,0,341.25
,,5,2020-01-06T14:40:00Z,3222,2020-01-06T15:43:00Z,3232.25,256.25,0,262.5,0,262.5
,,5,2020-01-07T14:40:00Z,3236,2020-01-07T15:57:00Z,3241,125,-96.88,131.25,-96.88,131.25
,,5,2020-01-08T14:40:00Z,3242.5,2020-01-08T16:41:00Z,3256.25,-343.75,-343.75,78.12,-343.75,78.12
,,5,2020-01-08T14:40:00Z,8876.5,2020-01-08T16:41:00Z,8922.75,-462.5,-462.5,152.5,-462.5,152.5
,,5,2020-01-09T14:40:00Z,3270.75,2020-01-09T20:58:00Z,3274.25,-87.5,-131.25,146.88,-131.25,146.88
,,1,2020-01-13T14:40:00Z,9019,2020-01-13T18:21:00Z,9071,-104,-104,15.5,-104,15.5
,,5,2020-01-13T14:40:00Z,3271.25,2020-01-13T20:04:00Z,3285,-343.75,-343.75,50,-343.75,50
,,1,2020-01-14T14:40:00Z,9067.25,2020-01-14T17:37:00Z,9083.5,32.5,-57.25,33,-57.25,33
,,5,2020-01-16T14:40:00Z,3306.25,2020-01-16T20:58:00Z,3316.25,-250,-250,62.5,-250,62.5
,,1,2020-01-16T14:40:00Z,9104,2020-01-16T20:58:00Z,9134.5,-61,-61,47.25,-61,47.25
,,5,2020-01-21T14:40:00Z,3319.75,2020-01-21T16:15:00Z,3324,106.25,-56.25,112.5,-56.25,112.5
,,5,2020-01-22T14:40:00Z,3333.75,2020-01-22T20:15:00Z,3323.75,250,-81.25,256.25,-81.25,256.25
,,1,2020-01-22T14:40:00Z,9234,2020-01-22T20:24:00Z,9192.75,82.5,-36.25,83,-36.25,83
,,4,2020-01-24T14:40:00Z,9269.5,2020-01-24T15:06:00Z,9256.25,106,-32,107,-32,107
,,1,2020-02-03T14:40:00Z,3247.25,2020-02-03T20:58:00Z,3246.75,2.5,-98.12,22.5,-98.12,22.5
,,1,2020-02-07T14:40:00Z,3330,2020-02-07T20:58:00Z,3326.75,-16.25,-44.38,50,-44.38,50
,,1,2020-02-12T14:40:00Z,3376,2020-02-12T20:58:00Z,3378.25,-11.25,-23.12,37.5,-23.12,37.5
,,1,2020-02-13T14:40:00Z,3367.25,2020-02-13T16:28:00Z,3377.25,50,-36.25,51.25,-36.25,51.25
,,1,2020-02-18T14:40:00Z,3369.25,2020-02-18T20:58:00Z,3368,-6.25,-69.38,27.5,-69.38,27.5
,,1,2020-02-19T14:40:00Z,3382.5,2020-02-19T20:58:00Z,3388,-27.5,-53.75,0,-53.75,0
,,1,2020-02-26T14:40:00Z,3160.25,2020-02-26T17:07:00Z,3139.75,-102.5,-102.5,106.88,-102.5,106.88
,,1,2020-03-04T14:40:00Z,3045,2020-03-04T20:58:00Z,3123.75,393.75,-62.5,403.12,-62.5,403.12
,,1,2020-04-22T13:40:00Z,2781.25,2020-04-22T19:58:00Z,2793.25,60,-71.25,115.62,-71.25,115.62
,,1,2020-06-12T13:40:00Z,3080.75,2020-06-12T14:37:00Z,3053.25,-137.5,-137.5,31.25,-137.5,31.25
,,1,2020-08-05T13:40:00Z,3315.25,2020-08-05T19:58:00Z,3321.5,-31.25,-38.75,14.38,-38.75,14.38
,,1,2020-08-07T13:40:00Z,3330.75,2020-08-07T13:58:00Z,3339.75,45,-6.25,46.25,-6.25,46.25
,,1,2020-08-11T13:40:00Z,3369.25,2020-08-11T14:08:00Z,3357.5,58.75,-11.88,60,-11.88,60
,,1,2020-08-12T13:40:00Z,3357.25,2020-08-12T19:18:00Z,3382,-123.75,-123.75,8.75,-123.75,8.75
,,1,2020-08-17T13:40:00Z,3378.75,2020-08-17T19:58:00Z,3377.75,5,-17.5,22.5,-17.5,22.5
,,1,2020-08-18T13:40:00Z,3387,2020-08-18T13:55:00Z,3381.25,28.75,-13.12,29.38,-13.12,29.38
,,1,2020-08-20T13:40:00Z,3360.25,2020-08-20T14:08:00Z,3366.75,32.5,-6.25,33.75,-6.25,33.75
,,1,2020-10-27T13:40:00Z,11544.25,2020-10-27T19:58:00Z,11590.5,92.5,-109.5,152,-109.5,152
,,1,2020-11-30T14:40:00Z,3624.25,2020-11-30T15:44:00Z,3597.75,-132.5,-132.5,13.75,-132.5,13.75
,,1,2020-12-02T14:40:00Z,3650,2020-12-02T15:29:00Z,3657.25,36.25,-28.75,36.88,-28.75,36.88
,,1,2020-12-04T14:40:00Z,3679.25,2020-12-04T20:58:00Z,3696.5,-86.25,-86.25,0,-86.25,0
,,1,2020-12-10T14:40:00Z,3659.75,2020-12-10T14:51:00Z,3668.75,45,-5,45.62,-5,45.62
,,1,2020-12-17T14:40:00Z,3722.75,2020-12-17T20:58:00Z,3720.75,10,0,58.75,0,58.75
,,1,2020-12-23T14:40:00Z,3694,2020-12-23T20:58:00Z,3688.25,28.75,-36.25,35,-36.25,35
,,1,2020-12-29T14:40:00Z,3742,2020-12-29T14:57:00Z,3730.5,57.5,-8.12,58.75,-8.12,58.75
