"candidate","scenario","net_profit_pct","np","drawdown_pct","dd","daily_loss_breaches","dbr","trailing_breaches","tbr","monthly_mean_pct","mmean","monthly_median_pct","mmed","backtest_id","id","error"
"S2_REF_A1","STRESS_2020","-0.455",,"3.2",,"0",,"0",,"-0.053",,"-0.018",,"86f4c663e2ee4bc2cc7f230314d584c1",,
"S2_REF_A1","FULL_2022_2026Q1","17.759",,"2.4",,"0",,"0",,"0.699",,"0.472",,"019320aa89bc8e8667673b3b13e52535",,
"S2_REF_A1","OOS_2025_2026Q1","9.445",,"2.2",,"0",,"0",,"1.354",,"0.7",,"b412de00018c25326c1859f08f98d1a6",,
"S2_G1","STRESS_2020",,,,,"0",,"1",,,,,,"9595062fd1855bb41d900cdb28c1be12",,
"S2_G2","STRESS_2020","-1.057",,"3.5",,"1",,"1",,"-0.929",,"-0.929",,"402b018db6d6bb2b2d62a09db5b36089",,
"S2_G3","STRESS_2020","-2.361",,"3.5",,"1",,"1",,"-2.252",,"-2.252",,"1db4e72e6f47bd2e605466a303d96355",,
"S2_G4","STRESS_2020","-2.239",,"3.5",,"1",,"1",,"-2.118",,"-2.118",,"5a1b0e0a5bced591365a465eba9a4a2a",,
"S2_B1","STRESS_2020","-1.179",,"3.5",,"1",,"1",,"-1.04",,"-1.04",,"f1af60a7d702575746bc53445b079e90",,
"S2_B2","STRESS_2020","-2.358",,"3.5",,"1",,"1",,"-2.256",,"-2.256",,"182a9b6a0fa66d4136b2924533558c84",,
"S2_M1","STRESS_2020","-1.138",,"3.5",,"1",,"1",,"-0.951",,"-0.951",,"014a9e73765e660a2d7b2cbb5979101b",,
"S2_M2","STRESS_2020","-2.578",,"3.5",,"1",,"1",,"-2.348",,"-2.348",,"b5f004356cffbc84633f1eb760de6b5a",,
"FUND_A1","STRESS_2020","-2.677",,"6.1",,"0",,"1",,"-2.463",,"-2.463",,"959f3e9cb68c5e808e2fac5e0ed86258",,
"FUND_A2","STRESS_2020","-1.857",,"6",,"1",,"1",,"-1.602",,"-1.602",,"751e9d33643a5293af5c55d24a52c63a",,
"FUND_A3","STRESS_2020","-1.122",,"6",,"1",,"1",,"-0.864",,"-0.864",,"c0e60d340641c5131232554de4342bfc",,
"FUND_A4","STRESS_2020","-0.388",,"6",,"1",,"1",,"-0.094",,"-0.094",,"e287447f25c17df7ee82fb231c7016e8",,
"FUND_B1","STRESS_2020","-1.857",,"6",,"1",,"1",,"-1.602",,"-1.602",,"e5a8e726604d9c16ae142ba9553c8bf3",,
"FUND_B2","STRESS_2020","-1.122",,"6",,"1",,"1",,"-0.864",,"-0.864",,"cc66f60d44e1faa6635d66d9006aa696",,
"FUND_M1","STRESS_2020","-1.346",,"6.1",,"1",,"1",,"-0.968",,"-0.968",,"95d2deec722e7c636a7d2e52b324d5c0",,
"FUND_M2","STRESS_2020","0.06",,"6.1",,"1",,"1",,"0.605",,"0.605",,"b4710d23a13be13b6fe3c4eed884d4e6",,
"STRICT_G1","STRESS",,"-4.621",,"6",,"1",,"1",,"-4.452",,"-4.452",,"d9818552d3e11ed7520117c54ca7380e",
"STRICT_G1","FULL",,,,,,"0",,"0",,,,,,"ea40322c4fca357e6414f8eb1b283311",
"STRICT_G1","OOS",,"21.197",,"3.3",,"0",,"0",,"1.851",,"0.296",,"97b8ccf4557c6f2f9122c96be0642ca6",
"STRICT_G2","STRESS",,"-4.122",,"6.1",,"1",,"1",,"-3.926",,"-3.926",,"a1b65d7b42d2b39955e2007f3c674637",
"STRICT_G2","FULL",,"2.367",,"6.1",,"0",,"1",,"0.33",,"0.454",,"09c242954d0d7a5adfb2aee9a0d24f06",
"STRICT_G2","OOS",,"25.263",,"4.8",,"1",,"0",,"2.197",,"0.061",,"704d743fbe3abd3bae51771ff1c4a02d",
"STRICT_G3","STRESS",,"-3.563",,"6.1",,"1",,"1",,"-3.31",,"-3.31",,"b812bb0861af429c29250616d242c7f3",
"STRICT_G3","FULL",,"5.647",,"6.1",,"2",,"1",,"0.855",,"0.629",,"16e9701122c5b2afeba4f0ed30dbb54a",
"STRICT_G3","OOS",,"14.794",,"6.2",,"3",,"1",,"2.633",,"0.256",,"acf6ce2c9df7aa6fe6c2bf5ee66d16dc",
